shop_name,shop_rating,r_num,Category,Location,region,Price_range,nickname,user_rating,lun_di,times,review,save,Category_1,min_점심,max_점심,avg_점심,min_저녁,max_저녁,avg_저녁,Location_1,Location_2
스케줄 성수,4.4,2072,스시오마카세,성수,서울특별시 성동구 아차산로 104 스탈릿성수 2층,점심 5만원 · 저녁 8.5만원,Chipozz,5.0,점심,2024.06.01,"주말 토요일 오전 11시반 예약하고 방문했습니다 매장도 넓은데 사람도 그렇게까지 많지 않아서 워크인으로 방문해도 될 것 같아요 개방감이 있어 답답하지 않아 좋고, 음식도 굉장히 빨리 나옵니다. 한 3개 시켜서 2-30분 걸릴 줄 알았는데 10분만에 하나씩 나오더니 금방 다 나와서 한 번에 먹을 수 있었어요 값이 상대적으로 비싼 편이라 가성비는 기대 안했는데 기대 이상으로 모든 메뉴가 맛있었어서 어떤 걸 시켜도 실패 없을 거 같은 느낌입니다! 김치볶음밥이 뭐 별거 있겠어 했는데 의외로 정말 맛있었습니다 떡볶이도 대파가 잔뜩있다보니 파맛이 많이 나서 달큰하니 엄청 맛있었습니다😋 튀김 특히 김말이 JMT 퍼플구아바에이드도 달지않고 너무맛있었습니다~!  ","9,999+",일식,50000.0,50000.0,50000.0,85000.0,85000.0,85000.0,성동구,성수
스케줄 성수,4.4,2072,스시오마카세,성수,서울특별시 성동구 아차산로 104 스탈릿성수 2층,점심 5만원 · 저녁 8.5만원,진예똥,5.0,저녁,2024.05.10,음식들도 다양하고 정말 맛있었어요 ! 갑오징어오일파스타랑 들기름살치살리조또 진짜 맛있구 폭립도 엄청 부드러웠어요 ! 아사이볼은 성수점에만 있다고 설명해주셨는데 정말 베스트 메뉴 등극 💓 직원분들도 엄청 친절하시고 제가 이때까지 갔던 곳들 중에서 제일 서비스 좋았던 것 같아요 ☺️ 다음에는 친구들이랑 놀러오려구요 데이트하기도 정말 좋아요 ! 정말 최고 최고 🫶🏻🤍🫧  ,"9,999+",일식,50000.0,50000.0,50000.0,85000.0,85000.0,85000.0,성동구,성수
스케줄 성수,4.4,2072,스시오마카세,성수,서울특별시 성동구 아차산로 104 스탈릿성수 2층,점심 5만원 · 저녁 8.5만원,즐거운 맛사냥꾼_16156,5.0,점심,2024.05.25,맛있어요! 특히 테라스쪽이랑 분수대쪽 뷰가 좋아요. 음식 맛도 좋고 가격대 괜찮은 편인데 빙수만 가격대가 좀 있어요. 다음에 방문할 때는 저녁타임에 오고 싶어요.  ,"9,999+",일식,50000.0,50000.0,50000.0,85000.0,85000.0,85000.0,성동구,성수
스케줄 성수,4.4,2072,스시오마카세,성수,서울특별시 성동구 아차산로 104 스탈릿성수 2층,점심 5만원 · 저녁 8.5만원,이삼큼,5.0,저녁,2024.06.02,생일이라 방문했는네 청담점에 비해 가격은 저렴하고 서비스나 음식 퀄리티는 유지해서 방문 만족도가 높았던 곳이에요 특히 분위기가 정원느낌에 단체석이 잘 되어잇어서 모임하기 딱 좋은 곳이랍니다 :)  ,"9,999+",일식,50000.0,50000.0,50000.0,85000.0,85000.0,85000.0,성동구,성수
스케줄 성수,4.4,2072,스시오마카세,성수,서울특별시 성동구 아차산로 104 스탈릿성수 2층,점심 5만원 · 저녁 8.5만원,Kkssmm4040,4.8,점심,2024.06.19,"기념일날 점심으로 예약했는데, 음식도 맛있고 분위기도 정말 좋았습니다. 직원분들도 친절히 안내해주셔서 좋았습니다.   ","9,999+",일식,50000.0,50000.0,50000.0,85000.0,85000.0,85000.0,성동구,성수
스케줄 성수,4.4,2072,스시오마카세,성수,서울특별시 성동구 아차산로 104 스탈릿성수 2층,점심 5만원 · 저녁 8.5만원,꼼꼼한 식도락가_89355,5.0,점심,2024.07.03,이국적인 인테리어와 맛있는 음식으로 즐거운 시간 보내습니다:)  ,"9,999+",일식,50000.0,50000.0,50000.0,85000.0,85000.0,85000.0,성동구,성수
스케줄 성수,4.4,2072,스시오마카세,성수,서울특별시 성동구 아차산로 104 스탈릿성수 2층,점심 5만원 · 저녁 8.5만원,시크다경,5.0,저녁,2024.04.24,친구들 모임 스케줄성수는 성수역에서 가까워 교통접근성좋고 이태리풍의 멋진 홀분위기와  오로지 우리들 서로에게 집중할 수 있는 프라이빗 룸에서 좋은 친구들과 맛있고 다양한 메뉴 그리고 와인한병...다들 마셨고 먹었고 즐겼고 만족해하며 돌아갔어요 두번째 스케줄성수 오늘도 좋았어요  ,"9,999+",일식,50000.0,50000.0,50000.0,85000.0,85000.0,85000.0,성동구,성수
스케줄 성수,4.4,2072,스시오마카세,성수,서울특별시 성동구 아차산로 104 스탈릿성수 2층,점심 5만원 · 저녁 8.5만원,위멍멍,5.0,저녁,2024.05.21,케이크 먹을 수 있는 레스토랑이 진짜 좋아요.  !!!  ,"9,999+",일식,50000.0,50000.0,50000.0,85000.0,85000.0,85000.0,성동구,성수
스케줄 성수,4.4,2072,스시오마카세,성수,서울특별시 성동구 아차산로 104 스탈릿성수 2층,점심 5만원 · 저녁 8.5만원,개구진 미식가_62155,4.7,저녁,2024.06.01,분위기 좋고 맛도 좋아요! 리조또가 제일 맛있었어요!  ,"9,999+",일식,50000.0,50000.0,50000.0,85000.0,85000.0,85000.0,성동구,성수
스케줄 성수,4.4,2072,스시오마카세,성수,서울특별시 성동구 아차산로 104 스탈릿성수 2층,점심 5만원 · 저녁 8.5만원,아이스블루♡,5.0,점심,2024.05.20,처음 방문이였는데 좋았습니다  ,"9,999+",일식,50000.0,50000.0,50000.0,85000.0,85000.0,85000.0,성동구,성수
